class,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,Y0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20
3,0.353478312,0.415977597,0.461879969,0.451163292,0.411291897,0.453302085,0.477823883,0.489747107,0.497856796,0.405212015,0.423589349,0.433222741,0.44067657,0.357310921,0.362422496,0.372377664,0.382153839,0.305209458,0.303844571,0.30619967,0.310871482,0.83652401,0.807343483,0.734425247,0.654680192,0.606359601,0.577069104,0.465796113,0.393177271,0.328842074,0.559264779,0.43132472,0.345070153,0.270986438,0.571185112,0.448577166,0.367199421,0.297929257,0.605133593,0.506737292,0.440879852,0.377275884
19,0.273764968,0.339559972,0.39266634,0.42253831,0.457563996,0.342012912,0.341083318,0.333340645,0.333500803,0.299625605,0.300015837,0.301424325,0.305339694,0.262931734,0.257659644,0.26821211,0.276607931,0.228513822,0.223852813,0.219496608,0.216821074,0.656500101,0.628944516,0.528313279,0.453164488,0.427881032,0.449643016,0.416220456,0.488401294,0.539107919,0.445925623,0.428838372,0.516979039,0.572890878,0.446341783,0.433539689,0.51444155,0.567975879,0.448823482,0.366474271,0.312856078,0.261085927
1,0.299902022,0.348598808,0.371180385,0.344059616,0.308196217,0.371887445,0.389231324,0.39738819,0.401200026,0.326398969,0.326385856,0.322932422,0.319105059,0.285021037,0.27236715,0.284038782,0.29192546,0.25118798,0.25321731,0.270643532,0.280255228,0.80810535,0.782052934,0.712795377,0.652940035,0.609786451,0.569645703,0.468003094,0.402616501,0.344875515,0.561929107,0.443983674,0.367809296,0.300700605,0.587873936,0.505839944,0.565155745,0.612496257,0.635191023,0.594006538,0.641279757,0.681885123
3,0.230328441,0.289839566,0.323567629,0.291424513,0.240936637,0.335392147,0.359644502,0.373091966,0.381447732,0.286865264,0.30426833,0.315502167,0.323380888,0.239604622,0.246531382,0.257847995,0.266532153,0.188093245,0.183881819,0.185716614,0.189213946,0.801496506,0.778549552,0.687767923,0.600352824,0.563284993,0.553773463,0.446035922,0.372948706,0.309322059,0.530046225,0.410617113,0.327061594,0.257236779,0.537341714,0.421468526,0.344137609,0.279646665,0.567108393,0.474641174,0.414127022,0.357913673
2,0.403428406,0.446752459,0.486051887,0.490418881,0.47038874,0.485113621,0.513647914,0.526430726,0.536002636,0.441078991,0.458083898,0.468331695,0.477149546,0.399400741,0.397467196,0.395913243,0.394130588,0.358741671,0.385368109,0.409322739,0.424549043,0.874937117,0.874495089,0.834410012,0.784780324,0.732106924,0.678094625,0.582296312,0.520373583,0.463280767,0.659403861,0.544739544,0.46830374,0.405105889,0.673176825,0.560937643,0.488367677,0.429557443,0.70961678,0.652464569,0.676653922,0.71536082
10,0.190811515,0.208944499,0.263260841,0.323294193,0.359608293,0.29752636,0.384403229,0.439078063,0.4819673,0.306975722,0.386679083,0.359578192,0.328760654,0.31030798,0.376522094,0.35048148,0.321942419,0.309901059,0.360535145,0.339164704,0.316580027,0.555862308,0.482618898,0.437469006,0.441045493,0.464280337,0.40333128,0.402006328,0.403042853,0.402831852,0.450984985,0.490137666,0.51488322,0.511419892,0.508441389,0.542765915,0.558708847,0.555641353,0.564386487,0.585439682,0.597217083,0.594103813
23,0.349101812,0.276944458,0.236585915,0.227732271,0.244312525,0.291740388,0.296444416,0.302764773,0.309014529,0.343601823,0.359375894,0.369622856,0.376993537,0.390240669,0.407868713,0.417844594,0.421596974,0.429810226,0.444088489,0.447355598,0.44581145,0.806961536,0.747174382,0.665000439,0.578682303,0.517789841,0.580878675,0.444751829,0.377204835,0.330860794,0.586151183,0.44097966,0.374638677,0.336135983,0.606746972,0.472360164,0.406224191,0.365483046,0.640841782,0.528329968,0.477230877,0.44381994
0,0.212000668,0.246379912,0.265798271,0.252518952,0.226152748,0.283228457,0.291075289,0.292513311,0.292564273,0.242045209,0.221363366,0.21932137,0.230911851,0.202193558,0.184004247,0.193577379,0.210676432,0.167975664,0.155612588,0.168593258,0.179688573,0.768398583,0.737636983,0.652672648,0.581252992,0.527418494,0.535972476,0.424662799,0.352130949,0.291474491,0.545196712,0.482828319,0.558823824,0.597835958,0.568128586,0.542575955,0.620887876,0.641902566,0.602837741,0.584759653,0.641423821,0.66439569
5,0.383107454,0.449268639,0.522651911,0.563381732,0.602553725,0.507789791,0.524378419,0.502697229,0.484611779,0.463629425,0.480095178,0.460640162,0.44677788,0.41927737,0.428656876,0.416824073,0.409619153,0.375095248,0.386121839,0.385019928,0.38638711,0.796242237,0.79747057,0.742512822,0.689088464,0.662658989,0.605157316,0.608970463,0.67492038,0.721725702,0.581099451,0.596921027,0.678595185,0.732313991,0.577510059,0.605237901,0.690743744,0.744302273,0.588210225,0.612798035,0.676056027,0.714245021
2,0.335911989,0.388281584,0.421067655,0.406426042,0.376630008,0.430975765,0.456940919,0.46828109,0.475042999,0.383851618,0.390480518,0.393297225,0.397374481,0.340950012,0.32638216,0.321749747,0.318345577,0.302676141,0.323541433,0.343236208,0.35487482,0.883462787,0.875730395,0.820528746,0.763433456,0.710094988,0.660787821,0.556609869,0.488385707,0.42648828,0.644364178,0.52600348,0.446013421,0.381257266,0.659451008,0.543775916,0.472407877,0.416592956,0.699050725,0.631530046,0.663873315,0.710197508
6,0.269684821,0.331274778,0.3902964,0.43833676,0.479072154,0.3590931,0.371393681,0.37285012,0.376144022,0.316651762,0.324267,0.314773381,0.309309602,0.277297705,0.280713618,0.280479282,0.28066355,0.237480491,0.246836305,0.251738846,0.255992204,0.686422229,0.660162866,0.574258208,0.518395305,0.508105099,0.492353261,0.393963575,0.331498623,0.279157698,0.490567714,0.451780736,0.534071088,0.593139112,0.500244319,0.480159104,0.562793374,0.618037939,0.513477862,0.489033848,0.546524405,0.58722496
22,0.251110017,0.283826292,0.3381356,0.383914709,0.407627016,0.402157575,0.443395615,0.39776808,0.354178905,0.401887119,0.451391459,0.389966279,0.342455238,0.394592464,0.434544474,0.372934103,0.331463397,0.380966187,0.41413027,0.369428754,0.337578088,0.454063296,0.535890102,0.615222573,0.672389865,0.726340473,0.550738096,0.55112499,0.540211082,0.53636235,0.496410191,0.491954803,0.488878608,0.492249399,0.446671486,0.435467422,0.444122225,0.454845071,0.399736583,0.392420918,0.40502122,0.417874515
18,0.123406708,0.147277072,0.199576393,0.256442636,0.292828143,0.250531077,0.337232679,0.30946967,0.277346641,0.261632711,0.344359398,0.31447497,0.281593144,0.270625532,0.346231788,0.31880635,0.284577787,0.277632833,0.367018551,0.421739578,0.467365474,0.617747486,0.503047228,0.411876887,0.359239578,0.378105044,0.426418155,0.448459864,0.457497686,0.455866456,0.505703866,0.512994587,0.517294884,0.519108176,0.580991626,0.576291323,0.57940495,0.580937743,0.645332158,0.646140099,0.648125708,0.647376537
